FeedbackID,CustomerID,StoreID,Rating,ReviewText,FeedbackDate
81,12301,9,4,Good prices during promotion,2023-04-23
82,2586,15,3,Prices were a bit high,2024-12-25
83,3819,19,4,Good prices during promotion,2025-05-27
84,1277,21,2,Plant quality was disappointing,2021-09-16
85,7769,4,4,Good prices during promotion,2024-07-23
86,2738,18,3,Prices were a bit high,2023-11-11
87,5428,11,4,Good prices during promotion,2023-10-08
88,8649,23,4,Helpful staff and healthy plants,2024-10-27
89,12725,6,3,Prices were a bit high,2025-09-20
90,3459,19,3,Decent experience overall,2023-03-13
91,1825,10,4,Good prices during promotion,2025-05-05
92,10423,17,4,Helpful staff and healthy plants,2021-09-09
93,7856,11,3,Prices were a bit high,2022-06-04
94,4275,6,4,Good prices during promotion,2025-06-24
95,5992,1,4,Good prices during promotion,2024-12-10
96,14210,21,4,Good prices during promotion,2021-03-11
97,12482,2,4,Great selection and clean store,2023-11-13
98,10785,3,4,Fast checkout and friendly advice,2025-10-13
99,9225,21,5,Great selection and clean store,2022-02-12
100,11454,18,4,Helpful staff and healthy plants,2022-09-22
101,4264,13,4,Great selection and clean store,2021-10-15
102,5959,4,4,Great selection and clean store,2025-04-11
103,14775,19,2,Plant quality was disappointing,2025-05-27
104,5144,18,4,Fast checkout and friendly advice,2025-10-01
105,634,25,4,Good prices during promotion,2022-05-14
106,6209,4,4,Fast checkout and friendly advice,2024-06-06
107,2907,11,4,Great selection and clean store,2023-06-24
108,8337,9,5,Great selection and clean store,2022-12-12
109,7478,18,4,Fast checkout and friendly advice,2024-06-02
110,4101,12,3,Some items were out of stock,2024-12-06
111,2186,4,5,Good prices during promotion,2025-04-08
112,10945,10,4,Fast checkout and friendly advice,2022-10-13
113,11091,25,2,Competitor had better price,2024-05-22
114,14021,21,4,Loved the indoor plant variety,2023-12-21
115,12272,11,4,Loved the indoor plant variety,2025-04-02
116,13436,12,5,Good prices during promotion,2025-12-25
117,5715,16,3,Some items were out of stock,2023-03-14
118,13838,7,4,Great selection and clean store,2022-12-16
119,5292,7,4,Good prices during promotion,2022-05-25
120,11430,19,4,Good prices during promotion,2022-10-13
121,12552,12,3,Average product selection,2023-07-03
122,6914,16,3,Prices were a bit high,2021-03-12
123,2334,15,4,Good prices during promotion,2022-05-23
124,5654,9,3,Store was busy but okay,2022-04-12
125,3635,8,5,Fast checkout and friendly advice,2022-05-14
126,8466,14,4,Helpful staff and healthy plants,2023-10-03
127,14642,21,3,Decent experience overall,2023-05-01
128,14222,22,3,Decent experience overall,2021-06-12
129,2736,1,4,Fast checkout and friendly advice,2022-10-13
130,2301,14,3,Store was busy but okay,2023-03-22
131,4635,17,3,Decent experience overall,2024-03-08
132,14233,16,5,Fast checkout and friendly advice,2024-11-09
133,13420,7,4,Loved the indoor plant variety,2023-10-24
134,10036,14,4,Helpful staff and healthy plants,2025-07-04
135,13661,14,3,Store was busy but okay,2024-08-01
136,7395,9,4,Helpful staff and healthy plants,2024-10-25
137,14599,19,4,Helpful staff and healthy plants,2022-12-19
138,3783,17,3,Average product selection,2024-02-09
139,1122,22,5,Loved the indoor plant variety,2023-04-11
140,14505,3,3,Prices were a bit high,2024-07-09
141,2478,21,3,Some items were out of stock,2025-09-06
142,9818,4,3,Store was busy but okay,2024-03-12
143,1608,2,5,Fast checkout and friendly advice,2022-01-03
144,869,10,3,Store was busy but okay,2025-03-11
145,3199,2,4,Good prices during promotion,2023-12-26
146,12346,15,4,Loved the indoor plant variety,2025-09-11
147,4276,4,5,Loved the indoor plant variety,2025-05-07
148,9113,23,4,Great selection and clean store,2023-12-10
149,1345,6,5,Great selection and clean store,2025-01-18
150,5549,23,4,Loved the indoor plant variety,2022-04-28
151,1124,11,3,Some items were out of stock,2022-05-27
152,6252,17,5,Great selection and clean store,2021-11-01
153,12563,7,3,Average product selection,2024-06-14
154,397,17,3,Average product selection,2025-04-26
155,8493,3,4,Great selection and clean store,2025-10-11
156,12958,2,3,Average product selection,2025-05-26
157,4015,4,4,Good prices during promotion,2022-12-14
158,6530,3,4,Great selection and clean store,2025-05-19
159,11645,18,4,Great selection and clean store,2021-11-22
160,10486,6,4,Good prices during promotion,2023-02-03
161,6373,19,2,Could not find what I needed,2021-11-21
162,9064,5,3,Prices were a bit high,2021-05-16
163,11571,20,3,Prices were a bit high,2022-07-01
164,3627,10,3,Decent experience overall,2021-04-19
165,188,2,5,Loved the indoor plant variety,2024-03-02
166,8146,9,4,Good prices during promotion,2023-07-20
167,501,19,3,Store was busy but okay,2025-09-21
168,1231,22,3,Store was busy but okay,2022-10-02
169,1165,18,5,Good prices during promotion,2022-05-13
170,10303,25,5,Fast checkout and friendly advice,2022-07-09
171,3364,10,4,Great selection and clean store,2024-03-04
172,7100,6,4,Helpful staff and healthy plants,2025-04-28
173,1529,10,4,Good prices during promotion,2025-12-24
174,10546,15,4,Good prices during promotion,2024-04-24
175,3615,17,2,Competitor had better price,2021-05-03
176,9760,22,3,Average product selection,2024-12-18
177,1337,4,3,Average product selection,2024-11-18
178,924,22,2,Competitor had better price,2024-03-13
179,112,6,5,Fast checkout and friendly advice,2021-05-20
180,1642,4,3,Decent experience overall,2021-01-28
181,7734,20,4,Great selection and clean store,2025-03-03
182,5707,10,2,Could not find what I needed,2025-10-08
183,2714,12,4,Fast checkout and friendly advice,2024-04-03
184,5795,5,4,Fast checkout and friendly advice,2024-02-07
185,10172,24,3,Prices were a bit high,2025-03-07
186,13483,15,3,Prices were a bit high,2022-10-19
187,2474,22,3,Decent experience overall,2022-04-18
188,7633,17,4,Helpful staff and healthy plants,2022-06-12
189,5436,21,5,Fast checkout and friendly advice,2023-06-11
190,7215,3,4,Fast checkout and friendly advice,2025-04-21
191,315,15,3,Prices were a bit high,2024-03-02
192,9943,6,3,Prices were a bit high,2021-05-25
193,10153,18,4,Good prices during promotion,2025-09-04
194,3085,10,4,Loved the indoor plant variety,2023-06-07
195,3840,9,3,Decent experience overall,2021-12-23
196,3684,10,4,Good prices during promotion,2023-03-03
197,2451,25,4,Fast checkout and friendly advice,2023-10-24
198,10007,20,4,Helpful staff and healthy plants,2024-08-21
199,11664,4,4,Loved the indoor plant variety,2021-05-16
200,7027,21,4,Great selection and clean store,2023-07-14
201,1813,3,4,Great selection and clean store,2021-05-04
202,12168,11,3,Store was busy but okay,2024-02-10
203,5716,22,4,Good prices during promotion,2024-12-09
204,3658,12,3,Average product selection,2023-03-26
205,12533,17,3,Store was busy but okay,2024-08-05
206,3634,22,4,Helpful staff and healthy plants,2025-12-08
207,7728,1,4,Loved the indoor plant variety,2022-05-11
208,8939,25,4,Helpful staff and healthy plants,2025-05-17
209,13670,12,4,Loved the indoor plant variety,2022-05-18
210,11370,25,4,Fast checkout and friendly advice,2023-05-16
211,5669,12,3,Decent experience overall,2024-05-28
212,13215,21,5,Good prices during promotion,2023-04-15
213,5234,18,4,Fast checkout and friendly advice,2022-05-10
214,1729,6,5,Loved the indoor plant variety,2022-07-03
215,8826,21,5,Great selection and clean store,2024-03-19
216,2725,15,3,Prices were a bit high,2025-11-19
217,13202,8,3,Decent experience overall,2025-05-06
218,12477,11,4,Great selection and clean store,2025-03-16
219,2253,25,4,Fast checkout and friendly advice,2025-08-04
220,12412,11,2,Long wait and limited stock,2021-11-25
221,9236,10,2,Could not find what I needed,2025-04-26
222,11972,4,4,Great selection and clean store,2022-10-10
223,10414,1,4,Good prices during promotion,2024-06-02
224,1677,20,4,Loved the indoor plant variety,2022-06-19
225,3208,1,4,Loved the indoor plant variety,2024-04-06
226,5508,11,4,Helpful staff and healthy plants,2022-11-20
227,8536,3,4,Great selection and clean store,2024-08-27
228,6195,14,4,Fast checkout and friendly advice,2025-11-04
229,4885,20,4,Fast checkout and friendly advice,2025-01-24
230,11268,9,4,Great selection and clean store,2021-12-23
231,7902,1,4,Great selection and clean store,2024-07-05
232,11788,9,2,Long wait and limited stock,2025-04-05
233,7800,14,3,Prices were a bit high,2025-05-19
234,14198,15,3,Decent experience overall,2022-06-14
235,6528,11,4,Good prices during promotion,2021-06-21
236,52,8,4,Fast checkout and friendly advice,2025-02-17
237,13482,19,4,Helpful staff and healthy plants,2021-07-18
238,4407,12,3,Average product selection,2021-02-17
239,13422,11,3,Prices were a bit high,2024-02-18
240,5001,15,4,Fast checkout and friendly advice,2025-09-05
241,534,9,5,Loved the indoor plant variety,2025-09-19
242,8475,25,5,Helpful staff and healthy plants,2022-01-19
243,902,1,3,Prices were a bit high,2024-05-28
244,5830,24,4,Helpful staff and healthy plants,2025-09-15
245,14281,22,4,Helpful staff and healthy plants,2023-05-21
246,68,18,5,Loved the indoor plant variety,2025-03-06
247,3846,5,4,Great selection and clean store,2021-06-08
248,13757,23,3,Prices were a bit high,2025-09-02
249,1213,6,3,Average product selection,2022-11-18
250,3820,8,3,Decent experience overall,2023-11-17
251,10451,23,3,Store was busy but okay,2022-02-28
252,5948,14,4,Helpful staff and healthy plants,2023-09-11
253,5379,2,4,Great selection and clean store,2021-08-05
254,6256,14,3,Prices were a bit high,2023-01-10
255,719,22,3,Average product selection,2022-05-08
256,1564,19,5,Fast checkout and friendly advice,2022-10-25
257,13992,5,5,Great selection and clean store,2022-11-07
258,14700,3,5,Fast checkout and friendly advice,2025-11-23
259,14934,1,5,Loved the indoor plant variety,2025-05-02
260,7802,9,3,Prices were a bit high,2024-01-17
261,4955,19,4,Good prices during promotion,2023-10-26
262,6892,9,4,Fast checkout and friendly advice,2021-05-22
263,10292,13,3,Prices were a bit high,2022-10-04
264,14502,11,3,Decent experience overall,2025-01-05
265,9604,2,4,Good prices during promotion,2023-02-01
266,14665,13,4,Loved the indoor plant variety,2022-10-11
267,14549,2,4,Good prices during promotion,2022-10-28
268,11248,24,3,Some items were out of stock,2022-05-22
269,8527,9,4,Fast checkout and friendly advice,2021-05-24
270,1635,4,3,Decent experience overall,2021-04-02
271,4296,7,3,Some items were out of stock,2025-12-21
272,4807,22,3,Average product selection,2021-02-21
273,4843,13,4,Good prices during promotion,2022-03-23
274,14470,4,3,Average product selection,2021-08-16
275,5814,20,4,Good prices during promotion,2024-05-09
276,7216,10,5,Loved the indoor plant variety,2024-07-19
277,12713,7,4,Great selection and clean store,2025-06-28
278,12015,16,5,Fast checkout and friendly advice,2021-08-23
279,13143,16,4,Helpful staff and healthy plants,2022-03-01
280,2233,15,5,Great selection and clean store,2025-02-19
281,1507,19,4,Helpful staff and healthy plants,2024-10-20
282,1668,25,3,Store was busy but okay,2021-08-05
283,7919,9,4,Helpful staff and healthy plants,2023-12-14
284,800,16,4,Fast checkout and friendly advice,2023-01-17
285,21,22,4,Helpful staff and healthy plants,2023-01-27
286,14984,5,4,Helpful staff and healthy plants,2021-12-14
287,7327,1,4,Fast checkout and friendly advice,2021-11-07
288,8306,17,2,Plant quality was disappointing,2025-09-09
289,13168,6,3,Average product selection,2025-08-20
290,9491,11,3,Store was busy but okay,2023-01-05
291,3098,10,4,Great selection and clean store,2021-08-20
292,11728,10,3,Store was busy but okay,2021-06-06
293,7478,1,3,Prices were a bit high,2025-03-23
294,3290,12,5,Great selection and clean store,2025-09-16
295,14678,17,3,Store was busy but okay,2021-06-16
296,6414,3,3,Average product selection,2025-06-14
297,9257,2,3,Average product selection,2025-03-01
298,9270,5,4,Great selection and clean store,2025-02-22
299,89,2,4,Loved the indoor plant variety,2025-11-14
300,4346,4,5,Great selection and clean store,2022-07-26
301,2289,22,5,Loved the indoor plant variety,2021-03-05
302,4670,2,4,Great selection and clean store,2024-06-09
303,13519,10,3,Prices were a bit high,2023-07-26
304,2762,22,5,Great selection and clean store,2021-04-26
305,13484,5,5,Great selection and clean store,2021-11-19
306,8889,4,4,Good prices during promotion,2024-03-19
307,7319,13,4,Great selection and clean store,2023-12-09
308,6812,17,2,Long wait and limited stock,2023-07-19
309,2715,6,4,Helpful staff and healthy plants,2024-12-07
310,6195,10,4,Helpful staff and healthy plants,2022-03-09
311,14421,23,3,Prices were a bit high,2021-07-09
312,12519,4,3,Decent experience overall,2022-08-28
313,6476,5,5,Fast checkout and friendly advice,2022-08-06
314,8797,11,3,Store was busy but okay,2024-10-03
315,4608,11,4,Loved the indoor plant variety,2023-06-09
316,13941,2,3,Some items were out of stock,2025-03-09
317,14642,7,4,Loved the indoor plant variety,2022-09-15
318,5567,4,3,Prices were a bit high,2021-08-08
319,5089,3,5,Good prices during promotion,2021-05-02
320,803,3,4,Loved the indoor plant variety,2022-07-20
321,11120,24,4,Fast checkout and friendly advice,2021-05-17
322,12147,9,4,Fast checkout and friendly advice,2024-02-04
323,223,4,4,Great selection and clean store,2025-11-21
324,4739,11,4,Fast checkout and friendly advice,2021-03-11
325,4972,10,4,Loved the indoor plant variety,2023-02-06
326,9625,2,3,Decent experience overall,2025-06-19
327,3594,22,5,Helpful staff and healthy plants,2024-10-26
328,9101,12,4,Helpful staff and healthy plants,2023-04-27
329,13974,7,3,Decent experience overall,2022-12-25
330,1669,15,4,Fast checkout and friendly advice,2023-11-13
331,9392,20,4,Great selection and clean store,2024-04-07
332,5537,22,4,Fast checkout and friendly advice,2025-02-17
333,3928,13,4,Great selection and clean store,2023-03-08
334,10493,3,4,Good prices during promotion,2021-08-03
335,12561,4,4,Loved the indoor plant variety,2025-11-12
336,10833,14,4,Loved the indoor plant variety,2025-09-07
337,1178,5,4,Loved the indoor plant variety,2022-10-23
338,13250,25,5,Loved the indoor plant variety,2025-03-18
339,9455,21,4,Loved the indoor plant variety,2021-02-05
340,11211,4,3,Prices were a bit high,2025-04-17
341,11951,20,3,Store was busy but okay,2022-04-13
342,13274,3,3,Decent experience overall,2025-06-12
343,4146,18,4,Fast checkout and friendly advice,2025-04-14
344,8115,10,5,Good prices during promotion,2022-11-08
345,11478,8,4,Loved the indoor plant variety,2023-07-03
346,11659,17,3,Decent experience overall,2021-05-26
347,13618,16,3,Decent experience overall,2024-03-25
348,14870,25,5,Loved the indoor plant variety,2023-05-27
349,562,14,4,Great selection and clean store,2022-09-10
350,13517,7,3,Decent experience overall,2024-01-01
351,10943,9,3,Decent experience overall,2024-07-02
352,14114,8,2,Competitor had better price,2024-03-19
353,10271,3,4,Fast checkout and friendly advice,2022-09-23
354,14656,23,5,Helpful staff and healthy plants,2023-03-10
355,11876,24,3,Some items were out of stock,2021-04-17
356,6794,1,4,Great selection and clean store,2023-12-01
357,5217,1,3,Store was busy but okay,2022-12-18
358,14484,8,3,Decent experience overall,2025-10-19
359,6460,16,2,Long wait and limited stock,2024-05-06
360,6080,3,4,Helpful staff and healthy plants,2025-12-23
361,5326,5,4,Fast checkout and friendly advice,2022-10-28
362,11943,12,3,Average product selection,2022-08-16
363,4142,3,2,Long wait and limited stock,2021-07-12
364,10977,12,4,Loved the indoor plant variety,2025-08-13
365,12665,2,3,Some items were out of stock,2021-05-08
366,11390,1,5,Great selection and clean store,2024-12-21
367,9644,13,4,Fast checkout and friendly advice,2023-07-08
368,206,23,4,Helpful staff and healthy plants,2024-10-07
369,5896,23,3,Average product selection,2021-04-13
370,9858,9,3,Decent experience overall,2021-05-09
371,12360,25,4,Helpful staff and healthy plants,2023-04-06
372,13923,18,4,Helpful staff and healthy plants,2024-03-14
373,8861,6,4,Fast checkout and friendly advice,2025-01-17
374,9473,24,3,Store was busy but okay,2021-12-23
375,4118,24,4,Loved the indoor plant variety,2021-11-03
376,4033,11,4,Great selection and clean store,2024-04-02
377,12637,15,4,Great selection and clean store,2021-12-13
378,5495,25,3,Decent experience overall,2021-03-16
379,11608,19,4,Great selection and clean store,2024-11-05
380,692,15,2,Long wait and limited stock,2022-01-12
381,3554,15,3,Some items were out of stock,2023-10-13
382,9461,25,4,Helpful staff and healthy plants,2021-10-21
383,7528,23,3,Average product selection,2021-10-20
384,12828,21,4,Good prices during promotion,2024-03-17
385,14682,10,3,Decent experience overall,2022-12-16
386,9080,23,4,Loved the indoor plant variety,2025-04-26
387,4400,14,4,Fast checkout and friendly advice,2021-10-27
388,7117,1,4,Loved the indoor plant variety,2021-04-21
389,14427,21,3,Average product selection,2022-07-05
390,14769,11,4,Great selection and clean store,2024-11-24
391,1366,15,4,Great selection and clean store,2025-04-27
392,9047,17,4,Loved the indoor plant variety,2024-09-17
393,5873,5,4,Fast checkout and friendly advice,2023-08-19
394,6915,11,4,Loved the indoor plant variety,2023-09-22
395,6689,4,4,Helpful staff and healthy plants,2023-06-15
396,7179,23,3,Some items were out of stock,2022-02-12
397,338,1,5,Loved the indoor plant variety,2022-09-11
398,6274,7,4,Great selection and clean store,2025-11-13
399,11863,8,5,Fast checkout and friendly advice,2024-06-14
400,10927,5,4,Loved the indoor plant variety,2024-05-25
401,11099,9,4,Good prices during promotion,2024-01-23
402,9236,25,3,Average product selection,2024-12-24
403,1369,14,4,Fast checkout and friendly advice,2021-12-12
404,7802,6,4,Loved the indoor plant variety,2023-11-07
405,3107,1,3,Prices were a bit high,2023-12-18
406,5027,4,5,Helpful staff and healthy plants,2024-05-10
407,10995,8,3,Prices were a bit high,2024-01-01
408,4159,11,3,Store was busy but okay,2023-07-07
409,10424,8,4,Fast checkout and friendly advice,2023-08-13
410,13912,19,4,Loved the indoor plant variety,2024-03-04
411,11965,17,4,Fast checkout and friendly advice,2024-02-04
412,7318,10,4,Good prices during promotion,2021-10-03
413,10279,20,4,Great selection and clean store,2024-05-21
414,12799,17,4,Great selection and clean store,2025-07-01
415,7956,25,4,Good prices during promotion,2023-09-13
416,329,19,4,Good prices during promotion,2025-03-27
417,5877,20,4,Helpful staff and healthy plants,2021-07-27
418,588,7,4,Good prices during promotion,2022-10-03
419,11896,6,3,Average product selection,2024-11-26
420,14532,15,4,Great selection and clean store,2022-06-19
421,4227,19,4,Helpful staff and healthy plants,2022-08-21
422,12367,5,3,Decent experience overall,2024-12-28
423,252,16,5,Great selection and clean store,2021-07-24
424,14443,16,5,Fast checkout and friendly advice,2025-11-14
425,6741,8,4,Helpful staff and healthy plants,2025-08-10
426,13155,14,4,Fast checkout and friendly advice,2022-03-02
427,12510,1,3,Store was busy but okay,2022-12-12
428,6092,20,5,Loved the indoor plant variety,2024-10-11
429,14911,10,5,Fast checkout and friendly advice,2024-09-23
430,11394,16,3,Store was busy but okay,2025-02-06
431,9902,1,4,Good prices during promotion,2023-05-23
432,3718,18,3,Store was busy but okay,2021-01-24
433,14570,16,4,Helpful staff and healthy plants,2025-08-08
434,13902,14,3,Store was busy but okay,2022-10-24
435,7482,5,3,Store was busy but okay,2024-12-14
436,7721,12,5,Great selection and clean store,2023-04-12
437,906,5,4,Good prices during promotion,2025-06-25
438,3865,19,5,Helpful staff and healthy plants,2025-02-16
439,10579,17,3,Prices were a bit high,2023-01-04
440,5083,2,4,Great selection and clean store,2024-05-09
441,9452,4,5,Fast checkout and friendly advice,2023-11-07
442,10266,13,5,Helpful staff and healthy plants,2021-05-22
443,3124,12,3,Some items were out of stock,2021-04-03
444,8599,4,4,Good prices during promotion,2021-11-02
445,7142,9,3,Decent experience overall,2024-09-28
446,9074,6,4,Helpful staff and healthy plants,2021-06-24
447,14962,10,3,Average product selection,2022-08-11
448,14770,21,3,Decent experience overall,2024-04-15
449,6798,7,5,Great selection and clean store,2023-02-15
450,11309,19,5,Loved the indoor plant variety,2021-12-16
451,7344,15,5,Loved the indoor plant variety,2022-12-28
452,961,25,4,Fast checkout and friendly advice,2022-04-14
453,13222,21,5,Loved the indoor plant variety,2021-03-22
454,7787,25,4,Loved the indoor plant variety,2022-07-08
455,7509,12,3,Store was busy but okay,2023-01-14
456,7907,20,3,Prices were a bit high,2021-07-22
457,6845,12,5,Loved the indoor plant variety,2021-12-01
458,4159,1,4,Great selection and clean store,2022-03-01
459,6343,13,3,Prices were a bit high,2022-11-17
460,14417,9,4,Great selection and clean store,2023-03-02
461,3666,14,3,Decent experience overall,2024-05-16
462,10791,16,4,Helpful staff and healthy plants,2023-09-02
463,3776,5,4,Loved the indoor plant variety,2025-07-04
464,13795,7,5,Loved the indoor plant variety,2025-10-12
465,10105,6,5,Fast checkout and friendly advice,2023-10-26
466,6178,4,2,Plant quality was disappointing,2022-09-25
467,7412,18,4,Loved the indoor plant variety,2024-05-06
468,5436,14,4,Helpful staff and healthy plants,2023-04-13
469,13874,15,3,Decent experience overall,2023-11-25
470,11530,21,4,Great selection and clean store,2023-10-09
471,8997,20,3,Store was busy but okay,2022-05-25
472,8693,5,3,Average product selection,2021-05-01
473,4206,16,4,Great selection and clean store,2022-04-23
474,10059,21,4,Helpful staff and healthy plants,2023-12-23
475,9115,18,5,Great selection and clean store,2022-06-17
476,4471,9,5,Great selection and clean store,2025-06-25
477,9649,15,3,Average product selection,2023-06-27
478,11178,14,5,Helpful staff and healthy plants,2025-03-25
479,7527,20,4,Great selection and clean store,2022-12-06
480,5570,15,5,Fast checkout and friendly advice,2023-04-27
481,1042,1,4,Loved the indoor plant variety,2021-03-21
482,6688,11,3,Decent experience overall,2023-04-04
483,10198,24,4,Helpful staff and healthy plants,2024-05-14
484,12775,7,4,Great selection and clean store,2024-07-17
485,6021,6,3,Average product selection,2021-07-20
486,11933,4,5,Helpful staff and healthy plants,2023-05-25
487,4714,12,5,Helpful staff and healthy plants,2023-08-24
488,11740,9,4,Good prices during promotion,2022-04-14
489,9103,6,5,Good prices during promotion,2025-05-01
490,9482,18,4,Loved the indoor plant variety,2024-04-10
491,6809,13,3,Decent experience overall,2025-06-01
492,5520,4,4,Helpful staff and healthy plants,2025-09-06
493,3285,13,5,Loved the indoor plant variety,2022-04-12
494,9692,5,3,Store was busy but okay,2022-11-01
495,12783,15,4,Fast checkout and friendly advice,2021-04-09
496,11374,3,5,Helpful staff and healthy plants,2023-12-17
497,1057,1,3,Store was busy but okay,2021-04-07
498,503,17,4,Loved the indoor plant variety,2024-02-07
499,8362,21,5,Great selection and clean store,2024-05-25
500,9782,19,3,Average product selection,2021-10-05
501,1272,1,4,Good prices during promotion,2025-12-27
502,5757,10,4,Fast checkout and friendly advice,2021-06-22
503,3547,23,4,Good prices during promotion,2021-04-09
504,1113,4,4,Fast checkout and friendly advice,2022-07-06
505,3510,2,4,Good prices during promotion,2024-12-26
506,11599,10,3,Prices were a bit high,2021-05-02
507,2198,5,4,Loved the indoor plant variety,2022-04-15
508,136,25,5,Helpful staff and healthy plants,2022-04-13
509,9545,11,5,Good prices during promotion,2024-09-28
510,14819,15,4,Helpful staff and healthy plants,2022-07-04
511,5002,16,4,Great selection and clean store,2023-12-13
512,11340,25,4,Good prices during promotion,2023-09-09
513,3513,16,3,Some items were out of stock,2021-01-25
514,2710,9,5,Loved the indoor plant variety,2025-07-02
515,10190,7,3,Some items were out of stock,2024-11-04
516,14419,20,3,Decent experience overall,2022-05-23
517,6905,17,5,Great selection and clean store,2024-03-08
518,11830,4,4,Good prices during promotion,2022-06-10
519,3034,2,3,Decent experience overall,2024-10-18
520,13103,14,5,Helpful staff and healthy plants,2023-06-15
521,12822,8,3,Average product selection,2025-03-28
522,9530,14,5,Great selection and clean store,2025-05-05
523,13324,21,4,Fast checkout and friendly advice,2022-12-03
524,198,16,3,Average product selection,2025-12-03
525,2022,9,3,Average product selection,2024-10-08
526,7185,23,4,Loved the indoor plant variety,2025-11-16
527,14917,24,3,Some items were out of stock,2023-04-11
528,5788,10,4,Good prices during promotion,2021-02-09
529,197,7,4,Loved the indoor plant variety,2021-03-07
530,14960,24,4,Helpful staff and healthy plants,2025-03-23
531,11412,16,4,Loved the indoor plant variety,2022-06-05
532,1387,3,4,Fast checkout and friendly advice,2021-04-20
533,8972,6,4,Good prices during promotion,2025-05-11
534,9293,14,4,Great selection and clean store,2023-04-05
